mass_A
t	x	y	v
0.01	0.0069642551610438475	0.5819076010634852	0.5934473402230929
0.02	0.010563299860785358	0.5770120358076765	0.6493807768798319
0.03	0.014394314744703401	0.5712552599153764	0.7183963592367474
0.04	0.01883853689269188	0.5652664926677613	0.7787909975725265
0.05	0.023601561540491783	0.5586921084953923	0.8402386508051928
0.06	0.02852025467593991	0.551530964396584	0.8980125424166825
0.07000000000000023	0.03407151376816822	0.5440992776910127	0.9647983784188522
0.08000000000000022	0.039844137182367706	0.535907134860248	1.0128098196428865
0.09000000000000023	0.0459189269064631	0.527669052670138	1.0370188571451464
0.10000000000000023	0.05195318354413059	0.5190686598628342	1.1072033732218507
0.11000000000000022	0.058890205397630735	0.5097217504167599	1.2004442920850062
0.12000000000000023	0.06610823958441625	0.49967636789266834	1.229990727985622
0.13000000000000023	0.07327141838553636	0.4897635042671421	1.2789280430926848
0.14000000000000024	0.08125006175440785	0.47906113087885005	1.3693055844650743
0.15000000000000022	0.08964217271944508	0.46780906243871695	1.4019274228024636
0.16000000000000023	0.09796893540013549	0.45655247779741454	1.478308826263694
0.17000000000000023	0.10723994323580147	0.4440503321027475	1.5719177561061441
0.18	0.11665026214379451	0.4312665488273067	1.604598889600275
0.19	0.12628151919495886	0.41821792177010164	1.652600544859224
0.20000000000000023	0.13659350061398945	0.4049093360826221	1.7267400838976272
0.21	0.14720324934899565	0.3907418642964177	1.78150354229713
0.22000000000000022	0.15797635765314316	0.3764088909399581	1.8142848640159135
0.23	0.16868920481566402	0.3615013864480096	1.8811716165372854
0.24000000000000046	0.1807691541005088	0.3464754465932881	2.007540508957722
0.25	0.19201754318421999	0.3288230115342436	2.0706713197596556
0.26000000000000045	0.20407666406694597	0.31224341678267786	2.084900892582887
0.27	0.2167281956563109	0.29523568733059913	2.150639582555789
0.28000000000000047	0.2297896351404748	0.2777623587334508	2.189752334348836
0.29	0.24320860325072124	0.26035311105033626	2.2386330992748484
0.30000000000000043	0.2573137561822467	0.2424492730265142	2.318800079104747
0.31	0.27221198819947434	0.22416558302952616	2.4041272027062575
0.32	0.2883361023628054	0.20571311808114234	2.4229637440452056
0.33	0.3046970338646575	0.18820695221418515	2.443926990127235
0.34	0.32202487048352746	0.17029873462276246	2.5373650573821585
0.35	0.34084025948324487	0.1525845461240084	2.6196286570754292
0.36	0.36067219975370396	0.13492408747723073	2.6436318737272693
0.37	0.38127775731977154	0.11852100898771545	2.688128133747994
0.38	0.40325982807131056	0.10211087276638009	2.6920302995308334
0.39	0.4252200738475015	0.08741018013964985	2.7041048381362662
0.4	0.4492184702624187	0.07360339307766528	2.809770412564733
0.41	0.4747334143189381	0.06083287734404497	2.81387583383173
0.42	0.5003901503376798	0.05018079626253824	2.8048226788119646
0.43	0.5271248416545304	0.04078417550151847	2.821405141590645
0.44	0.5542391310194315	0.033316097370058695	2.851940752666385
0.45000000000000046	0.5824540814800957	0.02692410179994864	2.8973117165614983
0.46	0.6111974267523688	0.02266158563234466	2.901636544098232
0.4700000000000005	0.6400394230606735	0.019732002755391553	2.8754843974745183
0.48	0.6685921945027892	0.01902773878319952	2.882599279125986
0.49000000000000044	0.6976881364113533	0.02034624262564677	2.874920958488952
0.5	0.7259545591689667	0.022980880183161023	2.7999654875197755
0.5100000000000005	0.7532127817098941	0.027621987054362473	2.827969948304866
0.52	0.7816775863197666	0.032671589989845984	2.885211954498327
0.5300000000000005	0.8096660459956491	0.03957222389028936	2.8248278693853583
0.54	0.8363843437969742	0.046779448898711884	2.7911086580236506
0.5500000000000005	0.8631240971810283	0.05564554899181062	2.770728452167793
0.56	0.8884764357361069	0.06567887798177718	2.7401798945634575
0.57	0.9136483817857025	0.0768759754362709	2.705024441826564
0.58	0.9372743569037126	0.08903751197590803	2.674201329673183
0.59	0.9593743981357125	0.10461894804933014	2.6188639813914536
0.6	0.9813491702919811	0.11733574948288195	2.5232399135573766
0.61	1.0012124308909955	0.13283729101477537	2.508194306079294
0.62	1.0202588085379238	0.1489973274977141	2.4711626303722714
0.63	1.0380933002855466	0.16573804132539027	2.4142599842651404
0.64	1.0544950956150525	0.18304636795147744	2.355238952754672
0.65	1.0699008240496335	0.20048198528439154	2.306518763991675
0.66	1.0844064953232095	0.21816501956222623	2.2433550043492527
0.67	1.0978926761217798	0.2355463958424861	2.1542637935484996
0.68	1.1107238165354736	0.2522786473535957	2.074877265291372
0.69	1.1227502499541222	0.2687751076679364	2.0100986740813145
0.7000000000000004	1.1341467521207478	0.28495225689379694	1.9963108917848953
0.71	1.1456932456671014	0.30145112055778894	1.9605531814471544
0.7200000000000004	1.1564448638306724	0.3172059655965919	1.9213338384945515
0.73	1.1661152832265693	0.33400184819170475	1.8677156534351194
0.7400000000000004	1.1767474034719623	0.3485612137848696	1.7699338944929903
0.75	1.186281555248374	0.3630945941791951	1.6967947490059523
0.7600000000000005	1.195560526171111	0.3768049986305388	1.6527284040917325
0.77	1.2044908609446567	0.39068128765876897	1.6102761253180917
0.7800000000000005	1.2131642233526971	0.4037736012166349	1.533206617395593
0.79	1.221415608281419	0.4162516208642047	1.480647074379933
0.8000000000000005	1.229455124377969	0.4285027914041995	1.4193764558242852
0.81	1.236872929340827	0.4400617664959664	1.341001915215833
0.8200000000000005	1.2439077309347697	0.45109563581032375	1.285083395783046
0.83	1.2507780765259255	0.46167709937352464	1.2269140355131853
0.84	1.2568956474350568	0.4719148876027692	1.1639546661420077
0.85	1.2628229707736658	0.4815978601143762	1.1110876894546384
0.86	1.2685232278604297	0.4908517752803825	1.0332587167011924
