mass_A
t	x	y
0.0	0.005375674473208331	0.6016848170559926
0.01	0.006309782458618393	0.5996336471269242
0.02	0.008465427075261336	0.5972574116151625
0.03	0.010362521459679336	0.5941884329322434
0.04	0.012423051832018597	0.5910978736683874
0.05	0.015461510060009509	0.5876060693398208
0.06	0.018153502316440223	0.5830840048332873
0.07	0.021655439741180754	0.5782837500443674
0.08	0.02543407887710014	0.573117821746663
0.09	0.02976073290593631	0.5675394090209255
0.1	0.03446315083765217	0.5614056988407221
0.11	0.03923265061177547	0.5545518488035007
0.12	0.0442058270890196	0.5474484662551747
0.13	0.04987412097755975	0.5400249954256997
0.14000000000000024	0.05573192344768957	0.5321551040690303
0.15000000000000022	0.06172413071542321	0.5238629937744318
0.16000000000000023	0.0679274883959643	0.5147271671640565
0.17000000000000023	0.07465623524255621	0.5052494874455703
0.18000000000000022	0.08180298108490289	0.4954596316080153
0.19000000000000022	0.08929159130104339	0.4850712359028895
0.20000000000000023	0.09703350136135822	0.47452005094356586
0.21000000000000021	0.10525775009830485	0.4635302724472583
0.22000000000000022	0.1137077928382397	0.4518108252555483
0.23	0.12284511164979509	0.43933137405629874
0.24	0.13223649766568304	0.4266749169158999
0.25	0.14206456042438276	0.4136465688439434
0.26	0.152357858894082	0.4001690276281839
0.27	0.1630473075739013	0.3855406391225651
0.28	0.1732007704172983	0.37142607550149914
0.29	0.1847698884006646	0.3560031667918467
0.3	0.19561109001491384	0.33955043123824846
0.31	0.20716535116707369	0.32318826653840266
0.32	0.2195543535787915	0.30694916333272815
0.33	0.23241545585235224	0.2897578542926317
0.34	0.2454470427391131	0.2723095062511907
0.35	0.25904057840901307	0.2547136446724469
0.36	0.27373421325284436	0.23684959659530636
0.37	0.2889358369290349	0.21908022670358185
0.38	0.30470798522621184	0.20086470392522693
0.39000000000000024	0.32167805255823156	0.18282892724541933
0.40000000000000024	0.33950180300770494	0.16518611857674503
0.41000000000000025	0.35817022623058187	0.14825059018453934
0.4200000000000002	0.37817591126752786	0.13146909949749297
0.4300000000000002	0.39889402206133395	0.11469115992393442
0.4400000000000002	0.4210082233610055	0.0992424338238388
0.45000000000000023	0.4442102489098523	0.08418904975191877
0.46000000000000024	0.4683357695409325	0.07068951784017596
0.47000000000000025	0.4936653722477913	0.059107698930199404
0.4800000000000002	0.519722104542298	0.0485686429839135
0.4900000000000002	0.5465281758027588	0.03943840357944228
0.5	0.5751928421959366	0.03355750422557757
0.51	0.6030846297749978	0.026511838639876384
0.5200000000000002	0.631382169124344	0.022892465196785672
0.53	0.659850484934196	0.02073941120048084
0.5400000000000003	0.6879782814053844	0.020996370302869716
0.55	0.7170394277427043	0.02262411238667028
0.5600000000000005	0.7450019118153784	0.02617415339941609
0.57	0.7737323587159044	0.033058929373023904
0.5800000000000004	0.8008821077410804	0.037395459976132694
0.59	0.8277310563319309	0.04402127837133163
0.6000000000000004	0.8546372059028111	0.05221897688369692
0.61	0.8804216126104715	0.061471332512898824
0.6200000000000004	0.9057886533931199	0.07194976725596214
0.63	0.9294742946519361	0.08368318719807943
0.64	0.9526652251371739	0.09596145729478056
0.65	0.9742376487412214	0.11068686555505836
0.66	0.9956554267619258	0.12568756788916524
0.67	1.0154930864492897	0.14084478397117817
0.68	1.0337473041459986	0.15701233696619177
0.69	1.0503790737427665	0.17330472272301667
0.7	1.0665494365263235	0.18967960563694097
0.71	1.0819638177774273	0.20638979565943316
0.72	1.0965454951494986	0.2236942628769777
0.73	1.110091414295862	0.24088349238843737
0.74	1.1231921306794048	0.25788553628199745
0.75	1.1356315677402933	0.2748816845691293
0.76	1.1472574931381851	0.29144480711491716
0.7700000000000005	1.1585379876209267	0.30757414935951977
0.78	1.1674809216967788	0.3251668528485803
0.7900000000000005	1.1794372892518228	0.33942240064760315
0.8	1.1891977869597747	0.35390221846315173
0.8100000000000005	1.1989854829468893	0.3687574798475036
0.82	1.208030812915809	0.3821292449179063
0.8300000000000004	1.216991640331266	0.39567984173404275
0.84	1.225096605305506	0.4083541803923967
0.8500000000000004	1.2328297190080324	0.4204884530159782
0.86	1.24025885415912	0.43217198637739085
0.8700000000000004	1.2470531683996084	0.4431728143854897
0.88	1.2535217141567625	0.4535723977312301
0.89	1.2595293817428093	0.46371201261288036
0.9	1.2653360901825452	0.47305449255313536
0.91	1.2710260286993884	0.48171249710790875
0.92	1.2758708320999734	0.49001493774030935
0.93	1.2804748221744573	0.4974676547819673
0.94	1.2844648584023446	0.5049935076488997
0.95	1.2883040430167891	0.512011758196166
0.96	1.2916998045066337	0.5184595046346747
0.97	1.2947647739596442	0.524002294234889
0.98	1.2971479717640646	0.5296371728521917
0.99	1.2995083231999025	0.5344447092755535
1.0	1.3018068679158927	0.538158176399151
1.01	1.3036604561094371	0.5414320391346413
1.0200000000000005	1.3053525997922417	0.5444511020151843
1.03	1.3064305741465108	0.5463992041504259
1.0400000000000005	1.3066100533349754	0.5486152702836623
1.05	1.307339817580934	0.5496043669047503
1.0600000000000005	1.3076001863577282	0.5508286970525457
1.07	1.3075824784712167	0.5509950388209839
