mass_A
t	x	y	v
0.01	0.003994786100761288	0.584878623626948	0.5941570302115605
0.02	0.007611195132167681	0.5799348486671185	0.6513293692221092
0.03	0.011573724366859217	0.5742837345929286	0.719944783674904
0.04	0.01593761201683669	0.5681875520215502	0.7798177083082318
0.05	0.020833795874838607	0.5617339402143919	0.8200694148494775
0.06	0.025572642146848373	0.5549145820275213	0.8962238026699418
0.07	0.03125728727658153	0.5471518392413957	0.9531126103066334
0.08	0.03664102277956341	0.5393949038949198	0.9792909429887264
0.09000000000000045	0.04290312996486442	0.5314045014191577	1.049882470284808
0.1	0.049404402163357286	0.5227216490456147	1.1329794397547992
0.11000000000000046	0.05615691558976213	0.5130253248605604	1.1923081122126902
0.12	0.06321885581156417	0.5032845627366841	1.2307714807728038
0.13000000000000045	0.0706493485112033	0.49312837124522024	1.3068030323559003
0.14	0.07847026929808507	0.482059858903344	1.3569143597803595
0.15000000000000047	0.08672223996791217	0.47126175760405226	1.39258486042711
0.16	0.0953696046207072	0.45992099029968925	1.4776808487424973
0.17000000000000046	0.1044197486868157	0.4475929075804353	1.562283962481981
0.18	0.11381281273478538	0.43469916351747223	1.6024405035802753
0.19000000000000045	0.1234000855271806	0.4217690225041706	1.6439175598362181
0.2	0.13351301839434976	0.4083764000913801	1.7273643165680745
0.21	0.14454588175578975	0.3944492440512043	1.7852580112206848
0.22	0.15543208959799987	0.3801910708539848	1.8075752987396774
0.23	0.16601191823053846	0.36536074697228504	1.8954036349403485
0.24	0.17743395149269436	0.34932134379162116	1.977470107507236
0.25	0.18884178948040553	0.33306597666580406	2.0317438411436695
0.26	0.20094362748692096	0.31617789271819513	2.0588028947883896
0.27	0.21360508534102207	0.30016845514889956	2.106670902528964
0.28	0.22657732200968356	0.2827393128778584	2.2243453255133496
0.29	0.23999810262172305	0.2643565368859267	2.27389499044218
0.3	0.25410618788809775	0.2465398527372501	2.279571888114724
0.31	0.26910323777250394	0.22926422568976934	2.3792314656965763
0.32	0.2852665799482895	0.21057699810084207	2.4507999099625626
0.33	0.30134305674622425	0.1923431998100521	2.466176670791575
0.34000000000000047	0.31898362745354014	0.17457739176755793	2.5509930551891946
0.35	0.33811401895777876	0.15697481611662023	2.600650231244817
0.36000000000000043	0.35780706093472825	0.1399639021595851	2.5776321221480694
0.37	0.3775679359932063	0.12379254112810523	2.6526338233665094
0.38000000000000045	0.3997424722861363	0.10746762921736264	2.700168655054244
0.39	0.42182979560107065	0.09285305033803737	2.708337150783931
0.40000000000000047	0.4457593080682181	0.07889339478262258	2.7894786979352753
0.41	0.47089817610174983	0.06630553449315246	2.799508054670247
0.42000000000000043	0.4965557338516599	0.055342996338164974	2.798404908650487
0.43	0.5230068914302273	0.04588226835084874	2.818292301043483
0.44000000000000045	0.5502799701318082	0.038289696547122	2.8362231263961375
0.45	0.5778649803183116	0.031451234686250884	2.8804382844637644
0.46000000000000046	0.606805116532696	0.027168648547943652	2.9031434910203617
0.47	0.6354971524804325	0.024392227414884005	2.8855333844908353
0.48	0.6643985415683074	0.023491889394599452	2.8883397304322536
0.49	0.6932627155367241	0.024769433123975282	2.856996835435387
0.5	0.7214285160824649	0.02703510459970282	2.8303886686745137
0.51	0.7494838939021793	0.031373909598618965	2.8492986166191643
0.52	0.7776090348106943	0.03658237426669286	2.8812242667235
0.53	0.8058284356478755	0.04345173744678954	2.846228057969455
0.54	0.832808701970212	0.05048929371952293	2.7785289614908213
0.55	0.859152313550875	0.059093135124852814	2.7445652508037957
0.56	0.884600583204054	0.06867325381152378	2.751764916749677
0.57	0.9100391739058171	0.08005527972024995	2.724731689142181
0.58	0.9338056571007207	0.092093881769582	2.748190368837954
0.5900000000000004	0.9570399542031165	0.10854995944813284	2.6528147450093256
0.6	0.9783893903252878	0.12085602981690624	2.497097947727198
0.6100000000000004	0.9985875775276105	0.1362626688123093	2.5297079723308973
0.62	1.0180250898697862	0.15230090685161657	2.4821108734045607
0.6300000000000004	1.036003060763802	0.16888829324083998	2.4451665093539905
0.64	1.0529137033037343	0.18656926479364666	2.401988709849536
0.6500000000000005	1.0689982252856158	0.20380446460993906	2.3427544667569653
0.66	1.0838579858111441	0.22175236836205714	2.251344420600268
0.6700000000000005	1.0970808732624344	0.23900085025786127	2.177896215967561
0.68	1.1101533303101814	0.25647768518836245	2.178671190450388
0.6900000000000005	1.1227425814539491	0.2742161877563567	2.0712088389213634
0.7	1.133697906029337	0.2905601642058184	2.0048589490013704
0.7100000000000004	1.1453887176166242	0.3073060091378318	1.9885316667995618
0.72	1.1558541989162052	0.3235874553671774	1.9004873106189994
0.7300000000000004	1.1655069048348365	0.3395550300560317	1.8498352533446545
0.74	1.1759275083207124	0.3546650748924501	1.768714073021641
0.75	1.1853396624969648	0.3688466929032852	1.7016069937192608
0.76	1.194830416154772	0.3829646618125232	1.6574464625647765
0.77	1.203472259532866	0.39659665570039576	1.5834602922423298
0.78	1.2116786286175953	0.4097802605500272	1.5391834715757058
0.79	1.2197741973426384	0.4227095093804333	1.463534947211385
0.8	1.2272699808376686	0.43455289772561345	1.408426245644499
0.81	1.2348024399382376	0.44653423855530383	1.3331544085871883
0.82	1.2415232125718432	0.4570865537979445	1.257199284638599
0.83	1.2480681312141346	0.46789404781219796	1.20875952695396
0.8400000000000004	1.2539271679773616	0.47783701711563265	1.1419468660209453
0.85	1.2599372168825005	0.4874066556164617	1.075085549841683
0.8600000000000004	1.265062405984867	0.49623076742130895	1.0064024496946333
0.87	1.27038736805351	0.5046093500799342	0.9610784300096361
